Australian Bureau of Statistics,,,,,,
"cat.no.1292.0.55.005 Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 - Correspondence Tables",,,,,,
"Table 6. CORRESPONDENCES, ANZSIC 2006 - ISIC Rev. 4",,,,,,
,,,,,,
ANZSIC 2006,,,ISIC Rev. 4,,,
A,"Agriculture, Forestry and Fishing",,,,,
A,Agriculture,,,,,
A,Nursery and Floriculture Production,,,,,
C,,,3092p,Manufacture of bicycles and invalid carriages,,
C,,,3290p,Other manufacturing n.e.c.,,
C,Textile Product Manufacturing,,,,,
C,1331,Textile Floor Covering Manufacturing,1393,Manufacture of carpets and rugs,,
C,1332,"Rope, Cordage and Twine Manufacturing",1394,"Manufacture of cordage, rope, twine and netting",,
C,1333,Cut and Sewn Textile Product Manufacturing,1392p,"Manufacture of made-up textile articles, except apparel",,
C,,,1399p,Manufacture of other textiles n.e.c.,,
C,1334,Textile Finishing and Other Textile Product Manufacturing,1313p,Finishing of textiles,,
C,,,1392p,"Manufacture of made-up textile articles, except apparel",,
C,,,1399p,Manufacture of other textiles n.e.c.,,
C,,,1709p,Manufacture of other articles of paper and paperboard,,
C,,,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,
C,Knitted Product Manufacturing,,,,,
C,1340,Knitted Product Manufacturing,1391,Manufacture of knitted and crocheted fabrics,,
C,,,1392p,"Manufacture of made-up textile articles, except apparel",,
C,,,1410p,"Manufacture of wearing apparel, except fur apparel",,
C,,,1430,Manufacture of knitted and crocheted apparel,,
C,Clothing and Footwear Manufacturing,,,,,
C,1351,Clothing Manufacturing,1399p,Manufacture of other textiles n.e.c.,,
C,,,1410p,"Manufacture of wearing apparel, except fur apparel",,
C,,,1420p,Manufacture of articles of fur,,
C,,,2219p,Manufacture of other rubber products,,
C,,,2220p,Manufacture of plastics products,,
C,,,3230p,Manufacture of sports goods,,
C,,,3290p,Other manufacturing n.e.c.,,
C,1352,Footwear Manufacturing,1520p,Manufacture of footwear,,
C,,,1629p,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",,
C,,,2219p,Manufacture of other rubber products,,
C,,,2220p,Manufacture of plastics products,,
C,,,3230p,Manufacture of sports goods,,
C,Wood Product Manufacturing,,,,,
C,Log Sawmilling and Timber Dressing,,,,,
C,1411,Log Sawmilling,1610p,Sawmilling and planing of wood,,
C,1412,Wood Chipping,1610p,Sawmilling and planing of wood,,
C,1413,Timber Resawing and Dressing,1610p,Sawmilling and planing of wood,,
C,,,1622p,Manufacture of builders' carpentry and joinery,,
C,Other Wood Product Manufacturing,,,,,
C,1491,Prefabricated Wooden Building Manufacturing,1622p,Manufacture of builders' carpentry and joinery,,
C,1492,Wooden Structural Fitting and Component Manufacturing,1622p,Manufacture of builders' carpentry and joinery,,
C,,,4330p,Building completion and finishing,,
C,1493,Veneer and Plywood Manufacturing,1621p,Manufacture of veneer sheets and wood-based panels,,
C,1494,Reconstituted Wood Product Manufacturing,1621p,Manufacture of veneer sheets and wood-based panels,,
C,1499,Other Wood Product Manufacturing n.e.c.,1623,Manufacture of wooden containers,,
C,,,1629p,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",,
C,,,3290p,Other manufacturing n.e.c.,,
C,"Pulp, Paper and Converted Paper Product Manufacturing",,,,,
C,"Pulp, Paper and Paperboard Manufacturing",,,,,
C,1510,"Pulp, Paper and Paperboard Manufacturing",1701p,"Manufacture of pulp, paper and paperboard",,
C,Converted Paper Product Manufacturing,,,,,
C,1521,Corrugated Paperboard and Paperboard Container Manufacturing,1702p,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,,
C,1522,Paper Bag Manufacturing,1702p,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,,
C,1523,Paper Stationery Manufacturing,1709p,Manufacture of other articles of paper and paperboard,,
C,,,3240p,Manufacture of games and toys,,
C,1524,Sanitary Paper Product Manufacturing,1709p,Manufacture of other articles of paper and paperboard,,
C,,,3250p,Manufacture of medical and dental instruments and supplies,,
C,1529,Other Converted Paper Product Manufacturing,1709p,Manufacture of other articles of paper and paperboard,,
C,Printing (including the Reproduction of Recorded Media),,,,,
C,Printing and Printing Support Services,,,,,
C,1611,Printing,1313p,Finishing of textiles,,
C,,,1811,Printing,,
C,1612,Printing Support Services,1812,Service activities related to printing,,
C,Reproduction of Recorded Media,,,,,
C,1620,Reproduction of Recorded Media,1820,Reproduction of recorded media,,
C,Petroleum and Coal Product Manufacturing,,,,,
C,Petroleum and Coal Product Manufacturing,,,,,
C,1701,Petroleum Refining and Petroleum Fuel Manufacturing,1920p,Manufacture of refined petroleum products,,
C,1709,Other Petroleum and Coal Product Manufacturing,1910p,Manufacture of coke oven products,,
C,,,1920p,Manufacture of refined petroleum products,,
C,,,2011p,Manufacture of basic chemicals,,
C,,,2029p,Manufacture of other chemical products n.e.c.,,
